Id,User_id,Movie_id,Date,Is_liked,Is_on_my_list
c34d2631-6153-42bc-b1ef-506e5e39ea81,1,84977,2020-06-17,1,0
9f93d19d-4969-471c-b3aa-b0363ed9671f,1,121,2020-10-16,0,0
5a30156e-3f90-4755-a39d-cadf72aee00c,1,61852,2020-03-09,1,1
089c42d9-4391-4fcc-bbfc-742755721f90,1,51019,2020-10-02,0,1
485e580e-078b-4231-a8f6-11e6b4ce2d44,1,19125,2020-01-27,1,1
99b7ef34-224a-413d-9f0d-a8afd63f955a,1,1855,2021-01-27,1,0
5976c7cc-4587-4af2-9813-918150de1cb9,1,79340,2020-03-25,1,1
f2d12102-ddd3-4fa3-977c-d120c38d863c,1,3854,2020-12-24,0,1
a4754e6e-2c2b-46fd-843b-4c817d0628b0,1,4386,2020-11-27,1,0
c7460710-e675-43a3-9d3c-40d31c32bf0c,1,101972,2020-03-23,1,1
f4f4455a-2990-4036-bd6a-66d2604fb092,1,4879,2020-09-10,0,0
d670abee-1886-4052-914e-6de5dc6251d6,1,72597,2020-07-29,1,1
31f8c3b1-d86d-4cb3-94b3-fbb5a3167a43,1,81318,2020-06-13,0,0
3b340ee7-d01b-4f1b-8ed5-17b95b6a4a4d,1,236,2020-12-31,0,1
09e7c999-f88a-47c9-8284-b1b6184c743a,1,155537,2020-01-30,1,1
62a52e5b-3769-4d02-943e-37a455118a79,1,114461,2020-01-20,1,1
77448625-40dd-4188-8cab-7754e1e2e6fa,1,34014,2020-07-20,1,0
4e4b9ee2-1889-4302-89c3-db4006628989,1,88367,2020-09-30,1,1
23ae4b97-8803-4be3-b2ad-7d9796e9cbab,1,88408,2020-02-07,0,1
ce260263-ae81-4e88-b560-d4915d8c82e5,1,99583,2020-07-10,0,0
fd03abf4-05c2-499b-aaa4-21d472c62590,1,83050,2020-05-19,1,0
19531957-a01e-45ce-b634-1324b427c932,1,130392,2020-10-05,0,0
4641d9da-31e2-4b67-8cc5-1b015c10c069,1,103505,2020-03-03,0,0
5ed3e77c-6f6b-4194-83aa-349748c2efbe,1,61223,2020-01-06,0,0
8becf9e2-ef3c-4753-b61f-dc0fd5b0574d,1,1813,2021-01-25,0,0
a52a66e1-601f-4d82-990a-69f2ac98fd0f,2,81349,2020-10-19,0,0
30d0fc53-e119-4ccc-8a31-574d3452e049,2,61901,2020-10-04,1,1
2b93a43b-907d-4be4-ab3a-3ddbf43def25,2,60573,2020-04-11,1,0
7af5ad91-270e-49a4-9e02-380f91a4a1f0,2,118956,2020-01-29,0,0
3c26ffce-4653-4446-a057-93c064502c0f,2,17035,2020-05-26,0,1
2a37e219-ef09-455b-92d3-5dd83a983b17,2,80307,2020-10-25,0,1
be684b2f-5757-4079-a24c-813bcfecb890,2,35527,2020-07-11,1,1
f7358add-b335-48cc-9135-ea86bfee8355,2,17149,2020-05-07,0,1
ae55977a-08e5-43a6-8f0a-72cdd7b974e0,2,76669,2021-01-22,0,1
1a3456db-dd09-483f-8122-e0091c7f4923,2,12504,2020-11-03,0,0
9878879c-5fa7-4394-a4ad-80cf8f9e7c07,3,1972,2020-01-31,0,1
430659ba-9a8c-4f82-9be3-22de96f3846c,3,76669,2020-08-27,1,1
7569a7d6-4925-454c-910d-0de5f859cdc4,3,31132,2020-10-01,1,0
352162a4-0207-4299-a9a4-8b2ea4e29d9d,3,14396,2020-11-16,1,1
fa16e821-6ce3-4b81-a040-2498d610a5cc,3,99588,2020-07-08,1,1
3774b0da-803f-4704-a951-bc84c5a1088a,3,61752,2020-10-22,0,0
e441b53d-1aeb-4bd9-8815-8353b23d03f5,3,246,2020-06-01,1,1
f7e24fe6-dc82-47c5-9677-43c2e9fb958e,3,95665,2020-08-02,1,0
8be305f6-420b-4133-9103-59a456875e7b,3,60574,2020-05-04,1,0
902382ed-b80f-4da1-b549-88dfead42288,3,85853,2020-09-03,1,1
44c9e29d-77f1-4396-8d2b-ecf073580bd7,3,17149,2020-06-26,0,0
51bb05cd-1e9e-400f-9601-9ab4cae46f31,3,39276,2020-11-05,0,0
5fcceae0-0014-4578-90a2-36b81af4da96,3,790,2020-06-30,0,1
fc196bc6-4a9d-4643-b507-1fcb8e653f63,3,116989,2020-12-25,0,0
49466dfa-dfae-4bc6-a3bf-2d2f962a6525,3,79699,2021-01-24,0,1
4a44f2de-11b3-472a-aba0-5dbeb738f7cd,3,103465,2020-10-21,1,1
6fb2f98f-2705-4233-8113-5bd3d0da68dd,3,99610,2020-06-21,0,1
157b68b5-d928-4d9a-b7b5-31a8b2a978a4,3,79340,2020-03-01,0,0
74d43e25-540d-428f-b302-d35815330ef8,4,89287,2020-12-24,1,1
e091b1d1-1fb2-4550-bec5-516557274063,4,5273,2020-11-08,0,0
b1e3cc1e-fd37-4928-a6e7-1c9c166eeeea,4,75663,2021-01-22,0,0
138f27f7-dbf3-4aba-ab0e-23c33b2833b9,4,3322,2020-09-29,0,0
bcf07357-6582-4d24-963e-a33e4238eda1,4,35016,2020-11-17,0,1
73c356cc-0a2b-48e8-969e-94b26d4517a2,4,41691,2020-01-12,0,0
75a09ffc-9d32-4282-b9af-d3e0f990a16a,4,60059,2020-12-04,0,1
97bdf5c4-6ee9-44fe-a7b5-6708f51a2058,4,2996,2020-11-15,1,1
ded65a8e-5e46-45a1-97dc-d12da9c7bf7f,4,77721,2020-09-27,1,1
dafc1234-8a44-4473-b60d-39922a4f9fac,4,67272,2020-07-21,1,1
7f587a5e-3ee9-4889-8ff1-30d46bbe0bb4,4,115577,2020-11-06,0,0
8e3637bd-346d-4ff0-95b3-03205e0d7a75,4,99777,2020-02-09,0,1
45b523c0-12a8-48ec-9d63-e501841c541a,4,45501,2020-10-14,1,0
977fb3e2-938e-42b4-bad9-732908ccba9e,4,133727,2020-01-30,1,1
a9ea2d9f-3480-4dfb-a6d2-1eb90879fe6a,4,2407,2021-01-30,1,1
b63e3fe1-2894-4497-8d68-93196ee31f9e,4,1482,2020-01-10,1,0
675a9d3a-db28-4c3e-b458-27a60e53e22f,4,93785,2020-05-26,1,1
438701f0-b412-42ea-87c6-5ca761e61d53,4,5273,2020-09-30,1,1
c0b8c12a-8a72-4263-972c-c4451dcee3cf,4,48462,2020-06-23,1,1
b22f1761-c755-4282-8449-4de8bc385bcf,5,720,2020-01-22,1,0
d36b1a27-b017-4d30-82ca-59e27bac1d15,5,54650,2020-07-18,1,1
b9741d49-6ede-4ca2-adce-12d5e96c85d6,5,113246,2020-05-15,0,1
dcb2e8ff-ff78-4829-b1a8-267a2eb3c8ca,5,5522,2020-10-07,1,1
88b55965-d361-48f9-a740-4187808fcceb,5,71722,2020-04-02,1,0
a8a5efa6-3857-46d9-9d9d-eb4dd3bba89f,5,79410,2020-03-15,1,0
